VariantID,ProductID,SKU,ColorName,SizeCode,SizeOrder,ListPrice
V00457,P0021,P0021-ST-XS,Storm Blue,XS,1,278.95
V00458,P0021,P0021-ST-S,Storm Blue,S,2,278.95
V00459,P0021,P0021-ST-M,Storm Blue,M,3,278.95
V00460,P0021,P0021-ST-L,Storm Blue,L,4,278.95
V00461,P0021,P0021-ST-XL,Storm Blue,XL,5,278.95
V00462,P0021,P0021-ST-XXL,Storm Blue,XXL,6,278.95
V00463,P0021,P0021-DU-XS,Dune,XS,1,278.95
V00464,P0021,P0021-DU-S,Dune,S,2,278.95
V00465,P0021,P0021-DU-M,Dune,M,3,278.95
V00466,P0021,P0021-DU-L,Dune,L,4,278.95
V00467,P0021,P0021-DU-XL,Dune,XL,5,278.95
V00468,P0021,P0021-DU-XXL,Dune,XXL,6,278.95
V00469,P0021,P0021-MO-XS,Moss,XS,1,278.95
V00470,P0021,P0021-MO-S,Moss,S,2,278.95
V00471,P0021,P0021-MO-M,Moss,M,3,278.95
V00472,P0021,P0021-MO-L,Moss,L,4,278.95
V00473,P0021,P0021-MO-XL,Moss,XL,5,278.95
V00474,P0021,P0021-MO-XXL,Moss,XXL,6,278.95
V00475,P0022,P0022-CL-XS,Clay,XS,1,439.95
V00476,P0022,P0022-CL-S,Clay,S,2,439.95
V00477,P0022,P0022-CL-M,Clay,M,3,439.95
V00478,P0022,P0022-CL-L,Clay,L,4,439.95
V00479,P0022,P0022-CL-XL,Clay,XL,5,439.95
V00480,P0022,P0022-CL-XXL,Clay,XXL,6,439.95
V00481,P0022,P0022-BO-XS,Bone,XS,1,439.95
V00482,P0022,P0022-BO-S,Bone,S,2,439.95
V00483,P0022,P0022-BO-M,Bone,M,3,439.95
V00484,P0022,P0022-BO-L,Bone,L,4,439.95
V00485,P0022,P0022-BO-XL,Bone,XL,5,439.95
V00486,P0022,P0022-BO-XXL,Bone,XXL,6,439.95
V00487,P0022,P0022-ST-XS,Storm Blue,XS,1,439.95
V00488,P0022,P0022-ST-S,Storm Blue,S,2,439.95
V00489,P0022,P0022-ST-M,Storm Blue,M,3,439.95
V00490,P0022,P0022-ST-L,Storm Blue,L,4,439.95
V00491,P0022,P0022-ST-XL,Storm Blue,XL,5,439.95
V00492,P0022,P0022-ST-XXL,Storm Blue,XXL,6,439.95
V00493,P0023,P0023-DU-XS,Dune,XS,1,132.95
V00494,P0023,P0023-DU-S,Dune,S,2,132.95
V00495,P0023,P0023-DU-M,Dune,M,3,132.95
V00496,P0023,P0023-DU-L,Dune,L,4,132.95
V00497,P0023,P0023-DU-XL,Dune,XL,5,132.95
V00498,P0023,P0023-DU-XXL,Dune,XXL,6,132.95
V00499,P0023,P0023-CL-XS,Clay,XS,1,132.95
V00500,P0023,P0023-CL-S,Clay,S,2,132.95
V00501,P0023,P0023-CL-M,Clay,M,3,132.95
V00502,P0023,P0023-CL-L,Clay,L,4,132.95
V00503,P0023,P0023-CL-XL,Clay,XL,5,132.95
V00504,P0023,P0023-CL-XXL,Clay,XXL,6,132.95
V00505,P0023,P0023-BO-XS,Bone,XS,1,132.95
V00506,P0023,P0023-BO-S,Bone,S,2,132.95
V00507,P0023,P0023-BO-M,Bone,M,3,132.95
V00508,P0023,P0023-BO-L,Bone,L,4,132.95
V00509,P0023,P0023-BO-XL,Bone,XL,5,132.95
V00510,P0023,P0023-BO-XXL,Bone,XXL,6,132.95
V00511,P0024,P0024-CL-XS,Clay,XS,1,122.95
V00512,P0024,P0024-CL-S,Clay,S,2,122.95
V00513,P0024,P0024-CL-M,Clay,M,3,122.95
V00514,P0024,P0024-CL-L,Clay,L,4,122.95
V00515,P0024,P0024-CL-XL,Clay,XL,5,122.95
V00516,P0024,P0024-CL-XXL,Clay,XXL,6,122.95
V00517,P0024,P0024-SL-XS,Slate,XS,1,122.95
V00518,P0024,P0024-SL-S,Slate,S,2,122.95
V00519,P0024,P0024-SL-M,Slate,M,3,122.95
V00520,P0024,P0024-SL-L,Slate,L,4,122.95
V00521,P0024,P0024-SL-XL,Slate,XL,5,122.95
V00522,P0024,P0024-SL-XXL,Slate,XXL,6,122.95
V00523,P0024,P0024-EM-XS,Ember,XS,1,122.95
V00524,P0024,P0024-EM-S,Ember,S,2,122.95
V00525,P0024,P0024-EM-M,Ember,M,3,122.95
V00526,P0024,P0024-EM-L,Ember,L,4,122.95
V00527,P0024,P0024-EM-XL,Ember,XL,5,122.95
V00528,P0024,P0024-EM-XXL,Ember,XXL,6,122.95
V00529,P0025,P0025-EM-XS,Ember,XS,1,95.95
V00530,P0025,P0025-EM-S,Ember,S,2,95.95
V00531,P0025,P0025-EM-M,Ember,M,3,95.95
V00532,P0025,P0025-EM-L,Ember,L,4,95.95
V00533,P0025,P0025-EM-XL,Ember,XL,5,95.95
V00534,P0025,P0025-EM-XXL,Ember,XXL,6,95.95
V00535,P0025,P0025-MO-XS,Moss,XS,1,95.95
V00536,P0025,P0025-MO-S,Moss,S,2,95.95
V00537,P0025,P0025-MO-M,Moss,M,3,95.95
V00538,P0025,P0025-MO-L,Moss,L,4,95.95
V00539,P0025,P0025-MO-XL,Moss,XL,5,95.95
V00540,P0025,P0025-MO-XXL,Moss,XXL,6,95.95
V00541,P0025,P0025-SL-XS,Slate,XS,1,95.95
V00542,P0025,P0025-SL-S,Slate,S,2,95.95
V00543,P0025,P0025-SL-M,Slate,M,3,95.95
V00544,P0025,P0025-SL-L,Slate,L,4,95.95
V00545,P0025,P0025-SL-XL,Slate,XL,5,95.95
V00546,P0025,P0025-SL-XXL,Slate,XXL,6,95.95
V00547,P0026,P0026-SL-XS,Slate,XS,1,52.95
V00548,P0026,P0026-SL-S,Slate,S,2,52.95
V00549,P0026,P0026-SL-M,Slate,M,3,52.95
V00550,P0026,P0026-SL-L,Slate,L,4,52.95
V00551,P0026,P0026-SL-XL,Slate,XL,5,52.95
V00552,P0026,P0026-SL-XXL,Slate,XXL,6,52.95
V00553,P0026,P0026-BO-XS,Bone,XS,1,52.95
V00554,P0026,P0026-BO-S,Bone,S,2,52.95
V00555,P0026,P0026-BO-M,Bone,M,3,52.95
V00556,P0026,P0026-BO-L,Bone,L,4,52.95
V00557,P0026,P0026-BO-XL,Bone,XL,5,52.95
V00558,P0026,P0026-BO-XXL,Bone,XXL,6,52.95
V00559,P0026,P0026-CL-XS,Clay,XS,1,52.95
V00560,P0026,P0026-CL-S,Clay,S,2,52.95
V00561,P0026,P0026-CL-M,Clay,M,3,52.95
V00562,P0026,P0026-CL-L,Clay,L,4,52.95
V00563,P0026,P0026-CL-XL,Clay,XL,5,52.95
V00564,P0026,P0026-CL-XXL,Clay,XXL,6,52.95
V00565,P0027,P0027-ST-XS,Storm Blue,XS,1,82.95
V00566,P0027,P0027-ST-S,Storm Blue,S,2,82.95
V00567,P0027,P0027-ST-M,Storm Blue,M,3,82.95
V00568,P0027,P0027-ST-L,Storm Blue,L,4,82.95
V00569,P0027,P0027-ST-XL,Storm Blue,XL,5,82.95
V00570,P0027,P0027-ST-XXL,Storm Blue,XXL,6,82.95
V00571,P0027,P0027-DU-XS,Dune,XS,1,82.95
V00572,P0027,P0027-DU-S,Dune,S,2,82.95
V00573,P0027,P0027-DU-M,Dune,M,3,82.95
V00574,P0027,P0027-DU-L,Dune,L,4,82.95
V00575,P0027,P0027-DU-XL,Dune,XL,5,82.95
V00576,P0027,P0027-DU-XXL,Dune,XXL,6,82.95
V00577,P0027,P0027-CL-XS,Clay,XS,1,82.95
V00578,P0027,P0027-CL-S,Clay,S,2,82.95
V00579,P0027,P0027-CL-M,Clay,M,3,82.95
V00580,P0027,P0027-CL-L,Clay,L,4,82.95
V00581,P0027,P0027-CL-XL,Clay,XL,5,82.95
V00582,P0027,P0027-CL-XXL,Clay,XXL,6,82.95
V00583,P0028,P0028-SL-XS,Slate,XS,1,93.95
V00584,P0028,P0028-SL-S,Slate,S,2,93.95
V00585,P0028,P0028-SL-M,Slate,M,3,93.95
V00586,P0028,P0028-SL-L,Slate,L,4,93.95
V00587,P0028,P0028-SL-XL,Slate,XL,5,93.95
V00588,P0028,P0028-SL-XXL,Slate,XXL,6,93.95
V00589,P0028,P0028-CL-XS,Clay,XS,1,93.95
V00590,P0028,P0028-CL-S,Clay,S,2,93.95
V00591,P0028,P0028-CL-M,Clay,M,3,93.95
V00592,P0028,P0028-CL-L,Clay,L,4,93.95
V00593,P0028,P0028-CL-XL,Clay,XL,5,93.95
V00594,P0028,P0028-CL-XXL,Clay,XXL,6,93.95
V00595,P0028,P0028-MO-XS,Moss,XS,1,93.95
V00596,P0028,P0028-MO-S,Moss,S,2,93.95
V00597,P0028,P0028-MO-M,Moss,M,3,93.95
V00598,P0028,P0028-MO-L,Moss,L,4,93.95
V00599,P0028,P0028-MO-XL,Moss,XL,5,93.95
V00600,P0028,P0028-MO-XXL,Moss,XXL,6,93.95
V00601,P0029,P0029-EM-XS,Ember,XS,1,135.95
V00602,P0029,P0029-EM-S,Ember,S,2,135.95
V00603,P0029,P0029-EM-M,Ember,M,3,135.95
V00604,P0029,P0029-EM-L,Ember,L,4,135.95
V00605,P0029,P0029-EM-XL,Ember,XL,5,135.95
V00606,P0029,P0029-EM-XXL,Ember,XXL,6,135.95
V00607,P0029,P0029-DU-XS,Dune,XS,1,135.95
V00608,P0029,P0029-DU-S,Dune,S,2,135.95
V00609,P0029,P0029-DU-M,Dune,M,3,135.95
V00610,P0029,P0029-DU-L,Dune,L,4,135.95
V00611,P0029,P0029-DU-XL,Dune,XL,5,135.95
V00612,P0029,P0029-DU-XXL,Dune,XXL,6,135.95
V00613,P0029,P0029-BA-XS,Basalt,XS,1,135.95
V00614,P0029,P0029-BA-S,Basalt,S,2,135.95
V00615,P0029,P0029-BA-M,Basalt,M,3,135.95
V00616,P0029,P0029-BA-L,Basalt,L,4,135.95
V00617,P0029,P0029-BA-XL,Basalt,XL,5,135.95
V00618,P0029,P0029-BA-XXL,Basalt,XXL,6,135.95
V00619,P0030,P0030-ST-XS,Storm Blue,XS,1,133.95
V00620,P0030,P0030-ST-S,Storm Blue,S,2,133.95
V00621,P0030,P0030-ST-M,Storm Blue,M,3,133.95
V00622,P0030,P0030-ST-L,Storm Blue,L,4,133.95
V00623,P0030,P0030-ST-XL,Storm Blue,XL,5,133.95
V00624,P0030,P0030-ST-XXL,Storm Blue,XXL,6,133.95
V00625,P0030,P0030-SL-XS,Slate,XS,1,133.95
V00626,P0030,P0030-SL-S,Slate,S,2,133.95
V00627,P0030,P0030-SL-M,Slate,M,3,133.95
V00628,P0030,P0030-SL-L,Slate,L,4,133.95
V00629,P0030,P0030-SL-XL,Slate,XL,5,133.95
V00630,P0030,P0030-SL-XXL,Slate,XXL,6,133.95
V00631,P0030,P0030-EM-XS,Ember,XS,1,133.95
V00632,P0030,P0030-EM-S,Ember,S,2,133.95
V00633,P0030,P0030-EM-M,Ember,M,3,133.95
V00634,P0030,P0030-EM-L,Ember,L,4,133.95
V00635,P0030,P0030-EM-XL,Ember,XL,5,133.95
V00636,P0030,P0030-EM-XXL,Ember,XXL,6,133.95
V00637,P0031,P0031-DU-XS,Dune,XS,1,75.95
V00638,P0031,P0031-DU-S,Dune,S,2,75.95
V00639,P0031,P0031-DU-M,Dune,M,3,75.95
V00640,P0031,P0031-DU-L,Dune,L,4,75.95
V00641,P0031,P0031-DU-XL,Dune,XL,5,75.95
V00642,P0031,P0031-DU-XXL,Dune,XXL,6,75.95
V00643,P0031,P0031-ST-XS,Storm Blue,XS,1,75.95
V00644,P0031,P0031-ST-S,Storm Blue,S,2,75.95
V00645,P0031,P0031-ST-M,Storm Blue,M,3,75.95
V00646,P0031,P0031-ST-L,Storm Blue,L,4,75.95
V00647,P0031,P0031-ST-XL,Storm Blue,XL,5,75.95
V00648,P0031,P0031-ST-XXL,Storm Blue,XXL,6,75.95
V00649,P0031,P0031-SL-XS,Slate,XS,1,75.95
V00650,P0031,P0031-SL-S,Slate,S,2,75.95
V00651,P0031,P0031-SL-M,Slate,M,3,75.95
V00652,P0031,P0031-SL-L,Slate,L,4,75.95
V00653,P0031,P0031-SL-XL,Slate,XL,5,75.95
V00654,P0031,P0031-SL-XXL,Slate,XXL,6,75.95
V00655,P0032,P0032-DU-XS,Dune,XS,1,39.95
V00656,P0032,P0032-DU-S,Dune,S,2,39.95
V00657,P0032,P0032-DU-M,Dune,M,3,39.95
V00658,P0032,P0032-DU-L,Dune,L,4,39.95
V00659,P0032,P0032-DU-XL,Dune,XL,5,39.95
V00660,P0032,P0032-DU-XXL,Dune,XXL,6,39.95
V00661,P0032,P0032-EM-XS,Ember,XS,1,39.95
V00662,P0032,P0032-EM-S,Ember,S,2,39.95
V00663,P0032,P0032-EM-M,Ember,M,3,39.95
V00664,P0032,P0032-EM-L,Ember,L,4,39.95
V00665,P0032,P0032-EM-XL,Ember,XL,5,39.95
V00666,P0032,P0032-EM-XXL,Ember,XXL,6,39.95
V00667,P0032,P0032-CL-XS,Clay,XS,1,39.95
V00668,P0032,P0032-CL-S,Clay,S,2,39.95
V00669,P0032,P0032-CL-M,Clay,M,3,39.95
V00670,P0032,P0032-CL-L,Clay,L,4,39.95
V00671,P0032,P0032-CL-XL,Clay,XL,5,39.95
V00672,P0032,P0032-CL-XXL,Clay,XXL,6,39.95
V00673,P0033,P0033-SL-XS,Slate,XS,1,48.95
V00674,P0033,P0033-SL-S,Slate,S,2,48.95
V00675,P0033,P0033-SL-M,Slate,M,3,48.95
V00676,P0033,P0033-SL-L,Slate,L,4,48.95
V00677,P0033,P0033-SL-XL,Slate,XL,5,48.95
V00678,P0033,P0033-SL-XXL,Slate,XXL,6,48.95
V00679,P0033,P0033-BA-XS,Basalt,XS,1,48.95
V00680,P0033,P0033-BA-S,Basalt,S,2,48.95
V00681,P0033,P0033-BA-M,Basalt,M,3,48.95
V00682,P0033,P0033-BA-L,Basalt,L,4,48.95
V00683,P0033,P0033-BA-XL,Basalt,XL,5,48.95
V00684,P0033,P0033-BA-XXL,Basalt,XXL,6,48.95
V00685,P0033,P0033-MO-XS,Moss,XS,1,48.95
V00686,P0033,P0033-MO-S,Moss,S,2,48.95
V00687,P0033,P0033-MO-M,Moss,M,3,48.95
V00688,P0033,P0033-MO-L,Moss,L,4,48.95
V00689,P0033,P0033-MO-XL,Moss,XL,5,48.95
V00690,P0033,P0033-MO-XXL,Moss,XXL,6,48.95
V00691,P0034,P0034-ST-XS,Storm Blue,XS,1,61.95
V00692,P0034,P0034-ST-S,Storm Blue,S,2,61.95
V00693,P0034,P0034-ST-M,Storm Blue,M,3,61.95
V00694,P0034,P0034-ST-L,Storm Blue,L,4,61.95
V00695,P0034,P0034-ST-XL,Storm Blue,XL,5,61.95
V00696,P0034,P0034-ST-XXL,Storm Blue,XXL,6,61.95
V00697,P0034,P0034-BO-XS,Bone,XS,1,61.95
V00698,P0034,P0034-BO-S,Bone,S,2,61.95
V00699,P0034,P0034-BO-M,Bone,M,3,61.95
V00700,P0034,P0034-BO-L,Bone,L,4,61.95
V00701,P0034,P0034-BO-XL,Bone,XL,5,61.95
V00702,P0034,P0034-BO-XXL,Bone,XXL,6,61.95
V00703,P0034,P0034-BA-XS,Basalt,XS,1,61.95
V00704,P0034,P0034-BA-S,Basalt,S,2,61.95
V00705,P0034,P0034-BA-M,Basalt,M,3,61.95
V00706,P0034,P0034-BA-L,Basalt,L,4,61.95
V00707,P0034,P0034-BA-XL,Basalt,XL,5,61.95
V00708,P0034,P0034-BA-XXL,Basalt,XXL,6,61.95
V00709,P0035,P0035-BO-One Size,Bone,One Size,1,192.95
V00710,P0035,P0035-BA-One Size,Basalt,One Size,1,192.95
V00711,P0036,P0036-BO-One Size,Bone,One Size,1,177.95
V00712,P0036,P0036-ST-One Size,Storm Blue,One Size,1,177.95
V00713,P0037,P0037-BA-One Size,Basalt,One Size,1,228.95
V00714,P0037,P0037-SL-One Size,Slate,One Size,1,228.95
V00715,P0038,P0038-MO-One Size,Moss,One Size,1,476.95
V00716,P0038,P0038-BO-One Size,Bone,One Size,1,476.95
V00717,P0039,P0039-EM-One Size,Ember,One Size,1,220.95
V00718,P0039,P0039-SL-One Size,Slate,One Size,1,220.95
V00719,P0040,P0040-EM-One Size,Ember,One Size,1,339.95
V00720,P0040,P0040-DU-One Size,Dune,One Size,1,339.95
V00721,P0041,P0041-BA-One Size,Basalt,One Size,1,211.95
V00722,P0041,P0041-CL-One Size,Clay,One Size,1,211.95
V00723,P0042,P0042-DU-One Size,Dune,One Size,1,358.95
V00724,P0042,P0042-BA-One Size,Basalt,One Size,1,358.95
V00725,P0043,P0043-MO-One Size,Moss,One Size,1,138.95
V00726,P0043,P0043-CL-One Size,Clay,One Size,1,138.95
V00727,P0044,P0044-ST-One Size,Storm Blue,One Size,1,115.95
V00728,P0044,P0044-BO-One Size,Bone,One Size,1,115.95
V00729,P0045,P0045-MO-One Size,Moss,One Size,1,93.95
V00730,P0045,P0045-CL-One Size,Clay,One Size,1,93.95
V00731,P0046,P0046-DU-One Size,Dune,One Size,1,121.95
V00732,P0046,P0046-CL-One Size,Clay,One Size,1,121.95
V00733,P0047,P0047-BA-One Size,Basalt,One Size,1,89.95
V00734,P0047,P0047-SL-One Size,Slate,One Size,1,89.95
V00735,P0048,P0048-SL-One Size,Slate,One Size,1,83.95
V00736,P0048,P0048-BO-One Size,Bone,One Size,1,83.95
V00737,P0049,P0049-BO-One Size,Bone,One Size,1,51.95
V00738,P0049,P0049-DU-One Size,Dune,One Size,1,51.95
V00739,P0050,P0050-BO-One Size,Bone,One Size,1,215.95
V00740,P0050,P0050-DU-One Size,Dune,One Size,1,215.95
V00741,P0051,P0051-EM-One Size,Ember,One Size,1,73.95
V00742,P0051,P0051-CL-One Size,Clay,One Size,1,73.95
V00743,P0052,P0052-EM-One Size,Ember,One Size,1,131.95
V00744,P0052,P0052-SL-One Size,Slate,One Size,1,131.95
